"";"4WHA_C5_S24";"4WHA_C6_S25";"4WHA_C7_S26";"4WHA_C8_S27";"4WHA_H5_S47";"4WHA_H6_S48";"4WHA_H7_S49";"4WHA_H8_S50";"C10_S37";"C7_S34";"C8_S35";"C9_S36";"CV1_H_S28";"CV2_H_S29";"CV3_H_S30";"CV4_H_S31";"CV5_H_S32";"CV6_H_S33";"HA1_H_S38";"HA2_H_S39";"HA3_H_S40";"HA4_H_S41";"HA5_H_S42";"HA6_H_S43";"HA7_H_S44";"HA8_H_S45";"HA9_H_S46";"Pool_control_S51"
"ASV353";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"9";"0";"0";"0";"0";"0";"34";"36";"0";"0";"34";"19";"9";"0";"102";"0"
"ASV354";"91";"11";"28";"44";"0";"0";"0";"0";"0";"0";"0";"0";"11";"0";"13";"27";"0";"23";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV355";"0";"0";"0";"0";"0";"0";"0";"0";"40";"0";"12";"23";"70";"65";"0";"38";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV356";"0";"0";"142";"38";"0";"0";"0";"0";"0";"0";"0";"0";"0";"20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"47";"0";"0";"0";"0"
"ASV357";"0";"13";"228";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV358";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"90";"0";"0";"0";"0";"0";"0";"0";"0";"153";"0";"0";"0"
"ASV359";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"39";"0";"86";"53";"40";"0";"25";"0";"0";"0";"0";"0";"0"
"ASV360";"0";"0";"0";"23";"219";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV361";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"156";"86";"0";"0"
"ASV362";"0";"0";"35";"44";"17";"32";"111";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV363";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26";"0";"0";"0";"213";"0";"0";"0";"0"
"ASV364";"14";"0";"22";"0";"39";"20";"0";"20";"0";"59";"64";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV365";"0";"0";"0";"0";"0";"0";"0";"0";"6";"51";"17";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"15";"46";"103";"0"
"ASV366";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13";"0";"38";"28";"38";"0";"0";"0";"90";"0";"0";"0";"0";"0";"0";"0";"31";"0"
"ASV367";"7";"0";"64";"0";"0";"17";"86";"0";"0";"0";"0";"0";"0";"0";"0";"0";"33";"0";"0";"27";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV368";"0";"0";"0";"0";"25";"0";"0";"0";"13";"9";"18";"32";"0";"22";"0";"35";"16";"43";"0";"0";"0";"0";"6";"7";"0";"8";"0";"0"
"ASV369";"33";"21";"0";"0";"33";"8";"34";"17";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"37";"16";"20";"14";"0";"0";"0"
"ASV370";"0";"0";"0";"0";"0";"0";"0";"0";"14";"0";"0";"51";"0";"0";"0";"61";"32";"75";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV371";"67";"0";"17";"16";"26";"34";"17";"36";"17";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV372";"9";"15";"22";"0";"0";"35";"81";"55";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"10";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV373";"9";"0";"34";"15";"10";"23";"12";"0";"0";"4";"0";"0";"32";"15";"0";"12";"0";"9";"20";"0";"0";"0";"5";"0";"22";"0";"7";"0"
"ASV374";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"48";"0";"0";"21";"0";"0";"0";"0";"0";"0";"0";"0";"0";"49";"111";"0"
"ASV375";"36";"17";"31";"0";"60";"46";"38";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV376";"0";"0";"0";"0";"15";"65";"62";"0";"0";"0";"0";"0";"0";"0";"14";"0";"0";"15";"0";"45";"0";"0";"0";"0";"0";"10";"0";"0"
"ASV377";"0";"0";"0";"0";"0";"0";"0";"0";"0";"18";"20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"98";"10";"77";"0"
"ASV378";"23";"11";"42";"22";"0";"21";"12";"19";"5";"6";"0";"15";"4";"0";"4";"26";"3";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV379";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"28";"75";"29";"0";"0";"0";"45";"0";"31";"0";"0";"13";"0"
"ASV380";"7";"12";"87";"26";"0";"17";"16";"16";"12";"0";"0";"0";"0";"0";"0";"0";"0";"24";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV381";"0";"0";"0";"0";"6";"11";"0";"0";"30";"0";"0";"0";"0";"8";"0";"9";"6";"0";"0";"0";"0";"3";"7";"31";"16";"15";"73";"0"
"ASV382";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"115";"12";"0";"0";"0";"82";"0";"0";"6";"0"
"ASV383";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"90";"105";"0";"0";"0";"0"
"ASV384";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"24";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"37";"36";"39";"50";"0";"26";"0"
"ASV385";"0";"0";"0";"0";"0";"0";"0";"0";"0";"12";"9";"0";"0";"0";"0";"71";"39";"46";"0";"0";"0";"14";"7";"13";"0";"0";"0";"0"
"ASV386";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"146";"0";"12";"0";"26";"11";"16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV387";"51";"0";"46";"0";"0";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"17";"0";"35";"0";"0";"0";"0";"0";"26";"0";"0";"27";"0"
"ASV388";"0";"0";"52";"0";"26";"13";"0";"0";"24";"19";"0";"21";"0";"0";"13";"0";"0";"0";"36";"4";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV389";"0";"0";"0";"0";"0";"208";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV390";"0";"26";"55";"69";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"56";"0";"0"
"ASV391";"0";"0";"0";"0";"31";"0";"13";"0";"0";"0";"0";"0";"0";"0";"12";"0";"0";"0";"21";"20";"0";"13";"13";"14";"0";"37";"32";"0"
"ASV392";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"0";"15";"17";"0";"61";"0";"0";"0";"0";"60";"0";"0";"46";"0"
"ASV393";"49";"36";"49";"27";"0";"19";"24";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV394";"0";"30";"51";"71";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"49";"0";"0"
"ASV395";"155";"0";"45";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV396";"0";"0";"0";"0";"29";"0";"0";"0";"0";"0";"0";"0";"0";"0";"36";"0";"12";"0";"18";"0";"0";"48";"12";"44";"0";"0";"0";"0"
"ASV397";"0";"0";"0";"0";"8";"17";"18";"7";"0";"9";"12";"0";"0";"7";"5";"0";"22";"6";"0";"13";"0";"18";"12";"12";"10";"0";"21";"0"
"ASV398";"0";"0";"0";"0";"0";"0";"0";"0";"36";"0";"0";"0";"0";"0";"0";"15";"66";"80";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV399";"0";"0";"0";"0";"0";"0";"0";"0";"15";"0";"12";"0";"31";"35";"0";"0";"31";"0";"27";"46";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"121";"0";"0";"0";"0";"0";"0";"0";"0";"0";"76";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV401";"0";"0";"0";"0";"0";"0";"0";"0";"0";"34";"0";"0";"24";"0";"89";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0"
"ASV402";"100";"0";"0";"0";"55";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"41";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV403";"0";"17";"15";"0";"0";"30";"20";"0";"0";"46";"0";"0";"0";"26";"0";"0";"42";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV404";"0";"0";"0";"39";"0";"0";"157";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV405";"0";"0";"0";"0";"0";"74";"63";"59";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV406";"0";"0";"0";"0";"0";"12";"12";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"21";"21";"0";"67";"54";"0"
"ASV407";"49";"25";"52";"33";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11";"24";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV408";"11";"0";"14";"0";"0";"13";"0";"0";"0";"0";"0";"0";"50";"16";"0";"23";"0";"0";"28";"0";"0";"0";"24";"13";"0";"0";"0";"0"
"ASV409";"0";"191";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV410";"0";"40";"12";"0";"41";"37";"11";"0";"0";"0";"0";"0";"0";"0";"0";"39";"11";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV411";"0";"0";"0";"0";"60";"0";"0";"0";"0";"11";"0";"0";"0";"0";"0";"0";"0";"0";"40";"0";"0";"0";"0";"0";"0";"49";"31";"0"
"ASV412";"19";"0";"63";"0";"0";"0";"0";"0";"0";"7";"8";"19";"7";"0";"11";"0";"0";"0";"7";"0";"0";"0";"8";"31";"0";"10";"0";"0"
"ASV413";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"0";"29";"107";"0";"46";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV414";"0";"14";"0";"10";"0";"31";"36";"28";"0";"6";"0";"0";"0";"0";"0";"23";"19";"22";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV415";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"55";"0";"32";"0";"0";"0";"0";"40";"0";"0";"0";"0";"0";"30";"32";"0";"0"
"ASV416";"18";"19";"12";"39";"10";"27";"29";"28";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0"
"ASV417";"0";"0";"0";"0";"62";"0";"0";"0";"0";"0";"0";"16";"0";"71";"0";"0";"0";"38";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV418";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"55";"0";"0";"128";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV419";"23";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"47";"0";"0";"22";"0";"19";"0";"0";"0";"0";"18";"31";"22";"0";"0"
"ASV420";"0";"0";"5";"0";"26";"0";"0";"8";"0";"0";"8";"13";"7";"10";"0";"7";"0";"0";"39";"0";"0";"0";"19";"11";"0";"0";"29";"0"
"ASV421";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"38";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"118";"26";"0";"0"
"ASV422";"0";"0";"12";"20";"47";"0";"12";"0";"7";"0";"0";"7";"0";"0";"0";"0";"0";"0";"9";"10";"0";"0";"18";"39";"0";"0";"0";"0"
"ASV423";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"25";"0";"0";"0";"0";"109";"21";"26";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV424";"0";"0";"34";"0";"0";"0";"0";"0";"26";"22";"0";"43";"0";"55";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV425";"0";"0";"6";"0";"0";"0";"0";"0";"14";"0";"0";"25";"50";"42";"43";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV426";"0";"0";"0";"15";"9";"13";"3";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"14";"14";"15";"0";"18";"0";"12";"47";"0";"11";"0"
"ASV427";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"33";"27";"119";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV428";"0";"0";"46";"7";"0";"0";"0";"0";"0";"0";"17";"0";"0";"36";"0";"43";"0";"12";"0";"0";"0";"0";"0";"0";"0";"17";"0";"0"
"ASV429";"155";"0";"21";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV430";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"38";"0";"97";"0";"41";"0";"0";"0";"0"
"ASV431";"85";"0";"0";"0";"23";"12";"0";"0";"54";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV432";"0";"0";"0";"0";"0";"0";"0";"0";"0";"49";"83";"24";"0";"0";"0";"0";"0";"0";"17";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV433";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"12";"26";"0";"0";"10";"7";"0";"15";"0";"18";"20";"31";"33";"0"
"ASV434";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"57";"71";"0";"0";"0";"43";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV435";"15";"58";"0";"0";"0";"30";"27";"40";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV436";"0";"96";"74";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV437";"0";"0";"0";"0";"0";"0";"0";"0";"80";"0";"0";"0";"0";"0";"0";"36";"0";"0";"0";"0";"0";"15";"0";"0";"0";"0";"37";"0"
"ASV438";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"46";"0";"18";"0";"0";"0";"0";"0";"104";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV439";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"42";"0";"0";"0";"0";"0";"0";"37";"43";"46";"0";"0";"0"
"ASV440";"0";"0";"167";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV441";"73";"28";"0";"0";"0";"0";"64";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV442";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"36";"38";"0";"0";"0";"0";"31";"0";"0";"0";"0";"0";"0";"41";"19";"0"
"ASV443";"8";"19";"3";"0";"6";"6";"2";"1";"0";"0";"1";"0";"4";"2";"0";"9";"36";"1";"4";"0";"0";"32";"4";"0";"26";"0";"0";"0"
"ASV444";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"18";"0";"0";"0";"41";"0";"49";"0";"56";"0"
"ASV445";"0";"0";"0";"0";"0";"0";"0";"0";"26";"0";"0";"24";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26";"0";"0";"0";"31";"56";"0"
"ASV446";"0";"0";"0";"0";"0";"0";"0";"0";"0";"16";"5";"0";"0";"0";"0";"26";"35";"24";"0";"18";"0";"8";"14";"11";"6";"0";"0";"0"
"ASV447";"0";"161";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV448";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"16";"0";"0";"0";"0";"0";"0";"19";"21";"6";"9";"0";"20";"40";"0";"29";"0";"0"
"ASV449";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"48";"49";"45";"0";"17";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV450";"0";"0";"0";"0";"30";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"0";"0";"0";"0";"0";"49";"0";"37";"32";"0";"0"
"ASV451";"0";"0";"17";"25";"0";"33";"0";"21";"22";"0";"0";"30";"0";"0";"0";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV452";"0";"0";"0";"0";"0";"0";"38";"0";"0";"0";"0";"0";"0";"0";"15";"0";"0";"0";"0";"24";"0";"0";"30";"19";"12";"0";"17";"0"
"ASV453";"0";"0";"0";"0";"0";"0";"0";"0";"24";"0";"7";"0";"46";"37";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"12";"11";"9";"0"
"ASV454";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"47";"0";"0";"45";"0";"0";"0";"0";"0";"28";"0";"0";"0";"35";"0"
"ASV455";"0";"0";"0";"25";"51";"0";"17";"61";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV456";"0";"0";"0";"11";"15";"21";"18";"4";"0";"0";"0";"0";"0";"0";"0";"0";"5";"6";"0";"0";"0";"14";"11";"34";"0";"0";"15";"0"
"ASV457";"0";"0";"0";"0";"0";"0";"0";"0";"46";"0";"0";"34";"0";"0";"0";"40";"0";"34";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV458";"0";"0";"0";"0";"0";"0";"0";"0";"59";"0";"10";"0";"0";"47";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"21";"10";"0"
"ASV459";"0";"16";"8";"35";"7";"9";"10";"11";"0";"11";"0";"5";"0";"0";"10";"14";"0";"0";"0";"4";"0";"0";"0";"12";"0";"0";"0";"0"
"ASV460";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"0";"0";"0";"0";"0";"26";"0";"0";"42";"16";"0";"11";"0";"21";"0";"26";"0";"0"
"ASV461";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"39";"31";"38";"22";"0";"22";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV462";"100";"0";"0";"0";"51";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV463";"0";"0";"0";"0";"0";"0";"0";"0";"0";"38";"31";"0";"0";"0";"0";"0";"0";"0";"0";"17";"0";"15";"10";"15";"0";"6";"19";"0"
"ASV464";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"12";"11";"28";"5";"0";"11";"0";"0";"0";"19";"8";"5";"42";"0"
"ASV465";"0";"0";"0";"0";"39";"0";"0";"0";"76";"0";"0";"0";"9";"0";"25";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV466";"0";"0";"0";"148";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV467";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"20";"0";"14";"0";"30";"15";"0";"16";"45";"0";"0";"8";"0";"0";"0";"0";"0";"0"
"ASV468";"146";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV469";"0";"14";"13";"7";"0";"23";"37";"13";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"33";"0";"0";"2";"0";"0";"0";"0";"0"
"ASV470";"0";"34";"0";"0";"0";"1";"3";"1";"0";"7";"0";"0";"10";"22";"1";"0";"7";"6";"0";"0";"52";"0";"0";"0";"1";"0";"0";"0"
"ASV471";"0";"0";"0";"0";"41";"0";"0";"86";"0";"0";"0";"0";"0";"0";"0";"18";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV472";"24";"0";"0";"11";"42";"10";"7";"6";"0";"0";"0";"0";"0";"0";"18";"0";"0";"0";"0";"10";"0";"0";"15";"0";"0";"0";"0";"0"
"ASV473";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"24";"0";"34";"25";"3";"0";"0";"0";"13";"0";"0";"0";"0";"0";"11";"21";"11";"0"
"ASV474";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13";"0";"0";"0";"0";"0";"0";"90";"39";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV475";"0";"0";"0";"0";"0";"0";"0";"0";"0";"32";"29";"0";"40";"0";"40";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV476";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"140";"0";"0"
"ASV477";"0";"0";"50";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"32";"0";"0";"0";"0";"0";"14";"31";"12";"0"
"ASV478";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"7";"36";"16";"23";"0";"12";"0";"0";"0";"0";"5";"19";"7";"10";"0"
"ASV479";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"122";"16";"0";"0";"0";"0";"0";"0";"0"
"ASV480";"0";"0";"0";"0";"24";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"113";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV481";"45";"34";"0";"0";"0";"0";"0";"0";"0";"17";"0";"0";"0";"0";"0";"0";"14";"26";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV482";"4";"0";"27";"0";"24";"0";"0";"0";"24";"0";"0";"0";"10";"47";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV483";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"0";"0";"0";"31";"17";"0";"0";"0";"0";"22";"10";"10";"0";"16";"20";"0"
"ASV484";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"43";"0";"33";"60";"0";"0";"0"
"ASV485";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"134";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV486";"0";"0";"133";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV487";"0";"0";"0";"16";"36";"0";"0";"0";"0";"0";"13";"0";"0";"0";"0";"19";"8";"19";"0";"0";"0";"0";"0";"13";"0";"9";"0";"0"
"ASV488";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"17";"26";"0";"18";"20";"38";"13";"0";"0";"0"
"ASV489";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"37";"95";"0";"0"
"ASV490";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"24";"33";"0";"0";"0";"30";"0";"0";"0";"0";"0";"0";"44";"0";"0"
"ASV491";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"51";"0";"0";"0";"17";"24";"0";"0";"37";"0"
"ASV492";"0";"0";"128";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV493";"0";"0";"0";"0";"0";"0";"0";"0";"0";"14";"0";"32";"0";"0";"0";"0";"36";"19";"1";"0";"0";"0";"0";"0";"1";"22";"1";"0"
"ASV494";"0";"0";"20";"0";"0";"0";"0";"4";"0";"0";"0";"0";"10";"23";"0";"0";"0";"0";"41";"0";"0";"0";"0";"0";"0";"27";"0";"0"
"ASV495";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"42";"30";"15";"0";"0";"0";"9";"0";"0";"0";"0";"0";"0";"0";"29";"0"
"ASV496";"0";"0";"0";"0";"14";"0";"25";"20";"0";"0";"0";"0";"0";"9";"0";"0";"0";"0";"15";"0";"0";"0";"0";"20";"0";"0";"21";"0"
"ASV497";"0";"0";"0";"20";"10";"8";"6";"3";"0";"0";"0";"0";"0";"5";"16";"3";"0";"7";"15";"5";"0";"0";"5";"0";"20";"0";"0";"0"
"ASV498";"0";"0";"0";"0";"0";"0";"0";"0";"123";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV499";"0";"0";"122";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV500";"0";"0";"0";"0";"38";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"17";"0";"39";"0";"0";"0";"0";"0";"0";"0";"28";"0"
"ASV501";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"122";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV502";"0";"0";"13";"0";"0";"5";"0";"0";"0";"0";"0";"0";"19";"26";"0";"20";"0";"21";"0";"0";"0";"4";"0";"0";"0";"13";"0";"0"
