"";"4WHA_C5_S24";"4WHA_C6_S25";"4WHA_C7_S26";"4WHA_C8_S27";"4WHA_H5_S47";"4WHA_H6_S48";"4WHA_H7_S49";"4WHA_H8_S50";"C10_S37";"C7_S34";"C8_S35";"C9_S36";"CV1_H_S28";"CV2_H_S29";"CV3_H_S30";"CV4_H_S31";"CV5_H_S32";"CV6_H_S33";"HA1_H_S38";"HA2_H_S39";"HA3_H_S40";"HA4_H_S41";"HA5_H_S42";"HA6_H_S43";"HA7_H_S44";"HA8_H_S45";"HA9_H_S46";"Pool_control_S51"
"ASV31";"0";"0";"0";"75";"2694";"0";"0";"0";"186";"0";"76";"93";"42";"100";"46";"240";"133";"319";"599";"0";"207";"277";"447";"100";"271";"345";"810";"0"
"ASV32";"330";"1046";"132";"765";"527";"335";"372";"413";"25";"0";"0";"67";"10";"17";"236";"368";"318";"633";"91";"518";"178";"153";"89";"150";"135";"16";"73";"0"
"ASV33";"2497";"79";"2645";"141";"0";"350";"821";"157";"0";"50";"0";"0";"0";"5";"0";"0";"0";"107";"0";"0";"0";"0";"0";"0";"0";"0";"18";"0"
"ASV34";"0";"0";"6870";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV35";"46";"0";"206";"30";"841";"639";"282";"325";"27";"266";"142";"239";"87";"205";"218";"2162";"243";"299";"137";"32";"0";"102";"0";"192";"38";"0";"0";"0"
"ASV36";"0";"17";"27";"728";"378";"78";"2081";"1387";"0";"152";"38";"0";"109";"87";"504";"16";"642";"0";"19";"15";"67";"0";"0";"0";"85";"150";"24";"0"
"ASV37";"2528";"55";"2653";"124";"0";"329";"679";"144";"0";"19";"0";"0";"0";"0";"0";"0";"0";"71";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV38";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"0";"0";"185";"0";"0";"0";"3700";"1360";"1311";"0";"0";"0";"0";"0";"0";"0"
"ASV39";"0";"0";"0";"272";"0";"0";"0";"0";"477";"816";"365";"784";"327";"384";"478";"522";"543";"424";"203";"0";"0";"97";"86";"288";"133";"126";"160";"0"
"ASV40";"0";"129";"64";"0";"0";"0";"0";"0";"0";"62";"0";"205";"0";"383";"986";"0";"0";"0";"127";"2443";"158";"1084";"31";"277";"69";"0";"233";"0"
"ASV41";"2628";"0";"403";"60";"1098";"176";"257";"42";"0";"0";"10";"0";"433";"63";"138";"335";"0";"145";"172";"42";"23";"0";"46";"72";"0";"75";"0";"0"
"ASV42";"0";"677";"257";"0";"0";"0";"28";"2555";"0";"265";"177";"0";"0";"34";"100";"232";"63";"11";"11";"197";"84";"114";"494";"467";"288";"16";"41";"0"
"ASV43";"0";"844";"0";"669";"40";"0";"5";"0";"37";"115";"0";"464";"120";"422";"586";"383";"6";"775";"1275";"0";"17";"0";"192";"32";"0";"0";"21";"0"
"ASV44";"0";"0";"0";"0";"0";"0";"0";"0";"393";"343";"368";"308";"0";"542";"697";"1168";"351";"782";"10";"9";"28";"59";"0";"454";"98";"0";"325";"0"
"ASV45";"0";"0";"0";"200";"50";"0";"0";"0";"1118";"989";"385";"580";"0";"66";"213";"449";"289";"221";"36";"157";"56";"32";"141";"180";"308";"158";"275";"0"
"ASV46";"124";"112";"60";"332";"288";"761";"139";"699";"118";"0";"40";"127";"28";"37";"223";"177";"592";"305";"267";"491";"45";"0";"642";"139";"0";"116";"0";"0"
"ASV47";"0";"0";"0";"137";"0";"0";"0";"0";"0";"522";"150";"14";"0";"59";"100";"0";"0";"0";"165";"993";"103";"630";"770";"855";"1022";"108";"228";"0"
"ASV48";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"63";"1066";"49";"36";"656";"571";"782";"920";"81";"125";"0";"0";"0";"507";"825";"98";"0"
"ASV49";"163";"1085";"942";"0";"9";"0";"0";"0";"0";"227";"64";"22";"104";"15";"101";"145";"203";"634";"73";"78";"58";"53";"153";"351";"276";"291";"524";"0"
"ASV50";"72";"518";"618";"1309";"27";"215";"282";"123";"0";"50";"49";"46";"55";"86";"147";"164";"213";"194";"76";"482";"30";"49";"155";"40";"111";"25";"170";"0"
"ASV51";"1444";"49";"3426";"0";"0";"0";"0";"0";"0";"143";"0";"0";"66";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"20";"0";"0";"0";"4"
"ASV52";"0";"0";"0";"0";"0";"0";"0";"0";"0";"145";"140";"0";"0";"612";"79";"249";"278";"108";"851";"147";"0";"166";"148";"646";"280";"757";"463";"0"
"ASV53";"0";"19";"94";"84";"740";"1052";"0";"582";"0";"172";"71";"0";"0";"60";"50";"93";"84";"0";"17";"705";"0";"54";"82";"514";"48";"127";"411";"0"
"ASV54";"0";"0";"853";"0";"0";"0";"0";"0";"46";"240";"144";"346";"539";"605";"192";"634";"264";"146";"7";"36";"30";"0";"0";"0";"0";"0";"645";"0"
"ASV55";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26";"196";"13";"109";"679";"29";"361";"0";"0";"0";"40";"863";"507";"862";"710";"71";"202";"0"
"ASV56";"0";"0";"0";"767";"0";"0";"22";"0";"47";"1070";"522";"121";"59";"164";"296";"617";"81";"78";"37";"97";"58";"4";"48";"9";"94";"9";"203";"0"
"ASV57";"0";"135";"321";"286";"621";"300";"222";"110";"0";"10";"39";"0";"3";"7";"343";"0";"12";"0";"271";"34";"32";"219";"309";"436";"170";"179";"189";"0"
"ASV58";"1166";"0";"0";"175";"247";"67";"328";"50";"274";"272";"144";"461";"0";"160";"176";"0";"62";"0";"190";"0";"0";"0";"50";"0";"72";"69";"0";"0"
"ASV59";"521";"102";"374";"32";"0";"32";"14";"0";"0";"77";"50";"83";"103";"164";"99";"52";"108";"51";"400";"199";"114";"113";"86";"346";"171";"341";"313";"0"
"ASV60";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"333";"0";"0";"406";"0";"442";"87";"203";"0";"319";"18";"63";"161";"884";"349";"658";"0";"0"
"ASV61";"0";"0";"3852";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV62";"1210";"1126";"1269";"0";"0";"141";"16";"24";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"39";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV63";"235";"270";"24";"538";"123";"273";"74";"149";"8";"62";"7";"41";"13";"35";"133";"282";"58";"416";"51";"100";"10";"332";"74";"223";"110";"56";"93";"0"
"ASV64";"0";"0";"0";"0";"0";"0";"533";"0";"12";"0";"0";"0";"0";"0";"230";"43";"141";"0";"0";"169";"0";"0";"97";"785";"1549";"0";"110";"0"
"ASV65";"0";"0";"0";"0";"122";"208";"72";"36";"0";"0";"35";"0";"0";"289";"0";"0";"99";"0";"424";"60";"111";"213";"205";"325";"674";"679";"45";"0"
"ASV66";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"480";"387";"2307";"0";"0";"375";"0"
"ASV67";"0";"22";"570";"0";"0";"0";"0";"0";"104";"0";"0";"0";"15";"14";"0";"1861";"261";"637";"0";"0";"0";"0";"0";"0";"0";"34";"0";"0"
"ASV68";"0";"0";"3516";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV69";"0";"0";"0";"0";"0";"0";"0";"0";"15";"0";"0";"1456";"0";"241";"0";"19";"0";"0";"0";"0";"0";"0";"0";"0";"738";"964";"0";"0"
"ASV70";"0";"0";"0";"0";"893";"0";"0";"0";"0";"0";"16";"0";"63";"374";"0";"13";"21";"162";"1410";"198";"0";"0";"0";"31";"31";"40";"40";"0"
"ASV71";"8";"1";"0";"0";"0";"0";"0";"0";"0";"106";"66";"0";"387";"1446";"123";"53";"24";"153";"169";"24";"25";"19";"38";"85";"61";"200";"296";"0"
"ASV72";"0";"62";"0";"125";"0";"0";"0";"0";"0";"132";"53";"0";"14";"28";"170";"158";"0";"337";"0";"0";"114";"1958";"0";"0";"72";"60";"0";"0"
"ASV73";"50";"31";"0";"23";"464";"0";"11";"0";"43";"158";"240";"0";"462";"472";"70";"33";"11";"85";"196";"24";"65";"58";"44";"98";"58";"332";"186";"0"
"ASV74";"0";"0";"0";"0";"0";"0";"0";"0";"0";"169";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1423";"0";"0";"978";"0";"594";"0"
"ASV75";"0";"0";"0";"115";"0";"0";"0";"0";"226";"384";"200";"387";"199";"228";"244";"195";"239";"223";"96";"0";"0";"0";"0";"170";"68";"61";"65";"0"
"ASV76";"547";"171";"0";"377";"644";"175";"33";"239";"177";"85";"0";"16";"0";"0";"0";"211";"29";"293";"8";"0";"23";"26";"0";"0";"42";"0";"0";"0"
"ASV77";"164";"180";"1286";"89";"117";"138";"444";"57";"0";"0";"18";"0";"73";"29";"0";"0";"0";"0";"25";"58";"0";"0";"0";"0";"91";"160";"66";"0"
"ASV78";"222";"188";"1291";"95";"77";"162";"465";"41";"0";"0";"0";"0";"63";"0";"0";"0";"0";"0";"0";"88";"0";"0";"0";"0";"82";"142";"0";"0"
"ASV79";"0";"0";"41";"0";"134";"604";"46";"812";"0";"0";"0";"0";"0";"0";"0";"134";"531";"144";"0";"0";"0";"0";"17";"236";"0";"0";"129";"0"
"ASV80";"0";"0";"0";"37";"108";"110";"89";"0";"149";"0";"0";"64";"46";"93";"0";"30";"93";"0";"267";"166";"0";"114";"152";"183";"40";"283";"542";"0"
"ASV81";"111";"89";"0";"0";"0";"0";"160";"0";"0";"0";"14";"87";"499";"0";"0";"0";"0";"0";"0";"0";"335";"353";"349";"491";"0";"0";"33";"0"
"ASV82";"0";"0";"0";"0";"0";"0";"0";"0";"0";"149";"102";"22";"252";"272";"97";"251";"132";"72";"352";"81";"24";"20";"32";"69";"135";"128";"173";"0"
"ASV83";"24";"417";"87";"101";"541";"197";"192";"126";"0";"0";"5";"0";"27";"111";"21";"15";"10";"4";"101";"82";"0";"26";"69";"70";"31";"69";"36";"0"
"ASV84";"0";"0";"0";"0";"0";"0";"0";"0";"503";"28";"68";"118";"606";"757";"30";"0";"168";"0";"0";"0";"0";"0";"0";"0";"14";"0";"0";"0"
"ASV85";"0";"0";"0";"0";"0";"17";"0";"286";"0";"170";"35";"0";"85";"96";"507";"15";"719";"0";"28";"13";"61";"0";"0";"0";"69";"171";"17";"0"
"ASV86";"0";"0";"13";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"41";"16";"0";"74";"239";"49";"459";"219";"232";"701";"129";"88";"0"
"ASV87";"0";"0";"0";"0";"0";"0";"0";"0";"61";"719";"0";"215";"0";"88";"0";"448";"0";"403";"72";"0";"0";"209";"0";"0";"0";"0";"0";"0"
"ASV88";"0";"0";"0";"51";"0";"0";"0";"0";"0";"74";"0";"0";"52";"631";"0";"24";"55";"0";"953";"92";"0";"44";"17";"98";"0";"109";"0";"0"
"ASV89";"0";"112";"159";"0";"42";"199";"969";"486";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"118";"31";"0";"0";"70";"0";"0";"0";"0"
"ASV90";"428";"42";"405";"0";"130";"16";"65";"60";"0";"0";"0";"0";"0";"16";"0";"0";"0";"0";"75";"0";"57";"144";"157";"0";"47";"283";"247";"0"
"ASV91";"0";"20";"46";"278";"114";"142";"69";"129";"0";"0";"0";"22";"0";"0";"0";"0";"68";"0";"0";"0";"0";"0";"611";"0";"306";"235";"93";"0"
"ASV92";"147";"73";"98";"62";"235";"21";"51";"16";"33";"0";"110";"118";"0";"0";"0";"0";"109";"0";"176";"84";"0";"74";"32";"60";"190";"95";"346";"0"
"ASV93";"0";"29";"481";"24";"1043";"264";"101";"157";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV94";"0";"0";"0";"0";"0";"0";"0";"0";"0";"133";"52";"0";"595";"805";"212";"0";"0";"0";"0";"0";"0";"41";"47";"62";"0";"0";"137";"0"
"ASV95";"570";"218";"66";"87";"62";"368";"262";"345";"0";"31";"0";"0";"0";"0";"8";"12";"6";"18";"0";"12";"0";"7";"0";"0";"0";"0";"0";"0"
