"4WHA_C5_S24","4WHA_C6_S25","4WHA_C7_S26","4WHA_C8_S27","4WHA_H5_S47","4WHA_H6_S48","4WHA_H7_S49","4WHA_H8_S50","C10_S37","C7_S34","C8_S35","C9_S36","CV1_H_S28","CV2_H_S29","CV3_H_S30","CV4_H_S31","CV5_H_S32","CV6_H_S33","HA1_H_S38","HA2_H_S39","HA3_H_S40","HA4_H_S41","HA5_H_S42","HA6_H_S43","HA7_H_S44","HA8_H_S45","HA9_H_S46","Pool_control_S51"
0,0,0,177,0,0,0,0,0,108,53,0,112,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0
89,40,22,39,0,0,0,20,0,91,33,0,20,0,78,45,51,0,0,0,0,0,0,0,0,0,29,0
21,0,26,0,43,28,45,0,37,0,0,0,0,0,0,0,0,0,0,46,0,62,68,101,27,21,28,0
0,0,0,0,0,0,0,0,26,0,0,35,21,36,59,35,14,81,12,24,0,7,13,111,70,0,9,0
0,65,0,160,27,24,0,16,0,0,0,0,0,0,0,43,0,143,0,12,0,42,20,0,0,0,0,0
0,29,16,0,83,0,0,0,0,0,0,0,8,23,20,0,44,15,12,29,0,222,39,0,0,7,0,0
0,0,0,0,131,0,0,0,0,26,0,0,0,0,0,0,0,0,109,0,0,0,0,0,93,185,0,0
530,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,31,16,16,30,42,11,0,0,0,31,0,26,18,35,14,22,34,25,0,40,21,58,22,19,0,0
0,25,0,232,28,148,19,0,0,0,0,0,0,0,0,0,0,29,15,42,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,259,269,0,0,0,0,0,0,0,0,0,0
156,0,60,0,0,0,0,0,0,0,0,0,57,95,0,0,0,0,49,0,0,0,0,0,53,38,27,0
0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,74,0,0,73,0,0,81,47,219,0,0,12,0
0,0,0,0,0,0,0,0,92,0,0,98,0,0,106,0,0,0,0,0,0,0,98,138,0,0,0,0
0,0,0,0,0,0,0,0,32,0,23,53,215,94,0,0,0,0,30,0,0,0,0,0,23,29,29,0
264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,252,0,0,0,0
0,12,120,15,44,21,45,14,30,0,0,16,17,0,0,7,0,0,22,13,0,0,24,46,13,17,49,0
0,0,0,0,0,0,0,0,0,116,98,0,21,25,35,0,51,0,0,0,0,0,0,73,0,30,76,0
32,37,18,0,13,0,0,13,0,26,8,0,0,0,7,0,0,0,16,53,0,73,113,76,19,0,18,0
31,0,43,29,63,73,0,42,19,0,0,11,0,0,0,45,27,34,0,23,0,56,0,0,0,25,0,0
0,0,0,0,0,0,0,0,5,53,24,16,0,0,0,175,80,167,0,0,0,0,0,0,0,0,0,0
11,33,34,19,28,81,77,32,0,0,12,0,0,10,19,0,9,6,7,47,0,28,24,10,10,6,13,0
0,0,0,0,0,0,0,0,0,0,0,19,24,84,71,0,42,101,28,16,0,0,0,0,14,48,67,0
0,0,0,0,0,0,19,73,0,16,0,0,15,0,32,0,0,334,0,0,0,10,0,0,0,9,0,0
0,25,388,0,0,85,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,20,69,0,56,16,0,180,38,26,0,29,40,0,30,0,0
0,14,0,0,0,18,0,0,186,0,0,0,0,31,88,0,0,0,0,0,0,14,39,29,22,20,42,0
12,25,241,83,37,12,7,24,0,0,0,0,0,0,0,0,0,0,31,0,0,7,7,0,0,0,0,0
61,0,0,0,75,15,29,11,55,12,10,0,0,0,0,19,0,10,56,25,0,0,0,17,23,38,24,0
0,0,0,0,0,0,0,0,118,260,44,7,0,0,0,0,0,0,0,0,0,0,0,0,17,34,0,0
0,0,0,0,0,0,0,0,0,0,136,0,0,21,44,0,0,0,158,115,0,0,0,0,3,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,14,73,72,61,0,0,0,0,0,77,153,25,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,164,0,0,0,0,80,0,0,118,0
0,0,0,0,31,0,0,0,16,15,0,31,17,10,0,145,14,0,0,39,0,12,50,52,0,36,0,0
0,0,54,67,0,58,60,15,48,0,0,21,0,0,0,0,0,14,56,42,0,0,0,24,0,0,0,0
44,10,41,35,11,20,0,0,17,17,8,32,41,5,19,29,0,12,11,5,0,0,4,16,10,43,17,0
0,0,0,0,0,0,0,0,17,30,63,0,81,57,18,0,110,0,0,0,0,0,0,25,38,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,7,5,25,0,44,0,20,9,0,57,77,40,63,21,70,0
0,0,0,15,52,49,59,61,0,0,0,0,0,0,0,0,0,0,31,20,0,25,24,34,43,0,24,0
8,0,19,0,20,25,91,8,22,30,0,0,0,0,23,66,32,0,0,23,0,13,26,5,9,0,13,0
0,0,0,0,0,0,0,0,0,25,0,0,0,0,20,0,0,0,0,0,0,122,140,51,0,16,57,0
0,0,0,0,0,110,62,70,106,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,94,0,0,72,82,88,0,0,0,0
14,16,22,20,31,21,20,17,0,10,16,18,8,47,38,41,21,29,0,8,0,0,0,9,10,0,4,0
0,0,0,0,0,0,0,0,64,0,17,71,12,19,45,0,12,0,27,35,0,13,0,28,20,19,37,0
0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,129,0,0,0,0,0,0,0,0,0,0,0,0
19,274,39,47,0,0,0,0,0,0,0,0,0,0,6,0,27,0,0,0,0,0,0,0,0,0,0,0
0,0,0,21,0,0,7,0,0,0,0,0,39,56,44,0,72,0,27,44,0,0,74,0,0,0,27,0
0,14,0,0,35,17,0,23,25,16,0,22,0,0,0,21,21,0,0,28,0,47,31,30,31,16,33,0
0,0,0,0,78,0,0,0,0,0,0,53,0,20,7,17,0,36,23,8,0,0,0,168,0,0,0,0
0,0,0,0,0,0,0,0,0,0,25,79,77,9,42,0,9,0,71,23,0,9,0,24,20,0,21,0
0,0,0,0,0,0,0,0,0,0,0,0,136,154,0,0,0,0,117,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,11,44,214,21,60,0,0,25,13,0,0,0,0,0,0,15,0
67,0,108,0,0,0,0,0,0,0,0,0,32,26,0,0,0,0,0,0,0,13,0,0,15,119,21,0
0,0,0,0,11,0,0,0,20,11,5,0,29,11,9,0,0,7,74,48,0,21,16,56,21,16,43,0
0,0,0,0,0,0,0,0,69,0,0,0,138,77,41,0,0,0,0,0,0,0,0,0,19,20,29,0
0,0,0,0,0,0,0,0,0,0,0,0,17,32,0,0,0,0,153,0,0,0,0,0,0,44,146,0
0,0,0,0,0,0,0,0,0,88,65,0,0,20,18,72,0,0,88,38,0,0,0,0,0,0,0,0
160,8,0,0,15,0,0,0,0,105,0,0,0,0,0,20,0,0,0,0,0,0,10,22,26,21,0,0
73,129,0,68,54,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,23,29,0,0,109,0,144,0,48,0,0,0,30,0,0,0,0,0,0
12,15,69,51,55,71,58,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,16,0,7,0,0,0,26,13,10,6,72,131,17,0,0,0,0,0,0,0,0,33,0,0,0,0
0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,42,0,0,46,0,45,24,0,57,0,0,0
0,0,0,0,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0
131,0,7,8,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,210,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,81,60,0,125,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,37,27,0,13,8,0,23,27,11,35,0,0,10,11,8,43,56,43,0
0,0,0,29,0,0,0,0,0,60,54,0,36,16,0,31,0,0,47,0,0,0,0,9,18,18,33,0
0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,13,79,0,71,0,15,0,36,91,0,0,0,0
33,41,0,0,43,175,26,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,31,0,15,0,61,0,0,101,23,31,0,0,22,0,0,0,0,15,0,0,13,11,26,0
0,0,0,0,0,0,0,0,0,18,87,26,41,0,0,0,34,143,0,0,0,0,0,0,0,0,0,0
14,18,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,26,35,0,75,83,13,0,55,0,0,0,0,0,0,56,0,0,0,0
0,0,147,0,0,19,0,47,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0
0,0,0,8,55,0,0,0,38,0,0,22,0,47,55,0,0,16,0,9,0,0,12,30,49,0,0,0
0,0,0,0,0,0,0,0,0,0,0,102,0,145,0,0,0,0,0,0,0,0,0,0,0,44,44,0
26,0,30,0,0,16,20,0,17,20,17,6,0,11,0,0,0,0,55,53,0,0,15,16,0,0,31,0
75,9,19,13,19,11,0,0,0,13,0,0,14,11,0,11,26,17,0,13,0,0,14,0,27,30,10,0
0,0,0,0,0,0,0,0,0,0,13,11,32,35,20,19,0,52,44,7,0,10,19,16,14,8,31,0
0,0,9,0,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,36,0,0,0,30,0,0,22,61,0,0,123,0,10,13,25,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,94,106,25,12,0,0,0,24,0,0,0
0,0,0,0,0,0,0,0,22,0,0,0,0,91,0,0,206,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,55,0,99,64,90,0,0,0,0
0,0,0,0,0,0,0,0,0,26,0,0,0,64,0,135,0,59,0,0,0,0,0,0,32,0,0,0
129,10,73,0,18,0,0,0,0,0,0,0,22,0,9,0,4,5,19,0,0,5,6,0,0,0,14,0
0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,13,105,68,0
0,0,0,0,0,0,0,0,0,0,0,0,58,86,34,27,11,0,20,10,0,0,13,11,22,21,0,0
28,11,20,0,6,26,44,14,0,0,0,0,42,37,33,9,0,0,12,10,0,0,0,0,9,0,11,0
0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,37,22,41,0
0,0,0,0,0,0,38,37,0,0,0,0,0,0,0,0,23,0,10,108,0,0,0,0,0,67,18,0
0,0,28,14,12,16,16,0,0,0,0,0,0,28,16,25,6,0,9,7,0,8,24,60,4,11,15,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,26,15,0,17,14,8,0,0,0,0,24,81,60,27,26,0
0,0,0,0,28,0,0,0,7,0,18,18,18,43,7,21,12,16,30,0,13,5,11,18,15,16,0,0
0,0,0,0,0,0,0,0,0,33,56,0,33,47,16,0,60,0,0,0,0,16,0,11,24,0,0,0
11,17,0,0,35,16,19,11,14,17,7,53,0,0,27,0,0,0,0,9,0,0,12,15,6,0,21,0
0,0,0,0,0,55,132,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,0
0,30,0,6,0,13,26,0,0,0,0,0,0,0,0,0,7,0,14,75,0,35,9,0,19,40,12,0
0,0,0,0,206,0,54,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0
0,0,0,0,87,0,0,0,0,0,46,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0
39,29,79,13,0,0,0,0,0,0,0,0,14,27,12,0,9,23,0,0,0,0,0,0,0,26,11,0
0,0,56,11,9,28,29,0,0,0,0,0,16,17,14,33,0,0,22,7,0,0,14,16,0,10,0,0
0,0,0,0,0,69,48,38,0,0,0,0,0,0,34,0,0,0,0,71,0,0,22,0,0,0,0,0
63,13,36,16,10,12,0,0,0,0,0,0,30,0,0,0,0,0,27,0,0,0,0,30,10,21,12,0
67,0,40,0,0,29,0,0,0,0,0,85,0,0,0,0,0,18,0,0,0,0,0,0,0,0,40,0
0,0,0,0,0,0,0,0,0,124,41,0,10,0,23,0,0,0,0,19,0,0,0,50,0,0,12,0
0,0,0,0,0,0,0,0,0,101,53,0,0,0,0,0,0,0,0,29,0,0,0,52,0,26,17,0
0,0,0,0,0,0,0,0,30,0,0,76,0,0,0,39,73,59,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,87,9,8,12,0,18,19,17,13,0,0,0,0,9,30,44,0,10,0,0
0,0,0,0,0,0,0,0,0,0,30,0,0,0,89,110,0,0,47,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,35,0,59,0,0,0,0,0,30,0,0,0,57,16,0,0,0,0,30,48,0,0
44,0,64,0,0,14,0,0,0,0,0,0,24,19,0,0,0,0,11,0,0,0,0,0,0,81,15,0
0,0,0,0,0,0,0,0,0,0,0,16,0,60,0,25,0,0,31,22,0,0,0,35,52,31,0,0
14,13,3,28,10,52,60,70,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,8,0,0,0
0,17,0,0,14,0,0,0,0,0,0,0,0,48,18,39,13,37,43,13,0,0,0,0,0,14,15,0
0,0,0,0,0,0,0,0,107,0,0,86,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0
0,0,0,0,0,25,0,0,0,0,0,30,10,0,0,5,0,0,31,9,0,0,55,57,0,0,47,0
0,6,0,25,26,29,46,20,0,0,0,31,10,10,0,0,10,8,0,0,0,23,0,14,10,0,0,0
16,0,0,0,0,0,0,0,0,0,0,33,0,0,34,0,0,0,0,23,0,0,47,34,38,0,40,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,18,0,23,29,58,10,23,37,0
264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,129,0,0,0,0,36,0,0,65,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,99,0,0,89,44,0,0,0,0
0,0,0,0,75,0,0,0,11,0,0,0,0,0,0,0,0,0,19,0,0,26,24,34,31,0,39,0
26,10,28,0,32,0,17,0,28,0,0,0,0,11,26,0,12,16,17,15,0,18,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,20,53,0,53,52,0,15,10,0,15,0,0,4,8,0,0,0,24,0
0,0,0,0,0,0,0,0,40,0,13,24,68,67,0,39,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,63,117,0,0,0,0,0,0,0,0,0,0
0,7,6,0,0,9,0,0,27,0,0,27,0,6,12,20,0,42,0,5,0,0,53,26,6,0,0,0
0,13,229,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,24,17,36,18,18,24,0,16,0,13,16,0,0,0,14,0,21,27,0
0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,151,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,212,0,0,0,0
0,0,0,0,0,0,0,0,6,51,17,0,0,0,0,0,0,0,0,0,0,0,0,0,15,46,102,0
0,0,143,34,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,43,0,0,0,0
66,0,17,16,25,34,17,33,15,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
0,0,0,20,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,33,32,0,0,34,19,0,0,101,0
0,0,0,0,0,0,0,0,14,0,0,51,0,0,0,61,32,75,0,0,0,0,0,0,0,0,0,0
33,20,0,0,34,8,34,18,0,0,0,0,0,0,0,0,0,0,0,0,0,36,15,20,14,0,0,0
0,0,0,0,59,24,0,25,0,58,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,12,0,36,27,38,0,0,0,86,0,0,0,0,0,0,0,31,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,87,49,43,0,12,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,80,0,0
37,17,31,0,60,46,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,34,14,10,23,12,0,0,4,0,0,32,15,0,12,0,9,20,0,0,0,5,0,22,0,7,0
9,15,22,0,0,35,81,55,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
0,0,0,0,31,27,37,0,48,0,0,0,24,0,0,0,0,0,19,0,0,0,8,32,0,0,0,0
171,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,32,42,11,0,110,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,18,20,0,0,0,0,0,0,0,0,0,0,0,0,0,98,11,76,0
0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,21,0,0,0,0,0,0,0,0,0,46,108,0
92,0,28,42,0,0,0,0,0,0,0,0,11,0,0,26,0,23,0,0,0,0,0,0,0,0,0,0
23,11,43,22,0,21,12,19,0,6,0,15,4,0,4,26,0,9,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,12,0,0,0,81,0,0,6,0
0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,36,36,40,48,0,26,0
0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,29,25,0,22,0,0,0,0,21,38,26,0,0
0,0,0,0,0,0,0,0,0,0,145,0,11,0,27,11,16,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,12,8,0,0,0,0,71,38,46,0,0,0,14,7,13,0,0,0,0
0,0,0,0,23,0,0,0,13,8,17,30,0,20,0,33,16,41,0,0,0,0,0,7,0,0,0,0
0,0,64,0,0,17,65,0,0,0,0,0,0,0,0,0,33,0,0,27,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,89,104,0,0,0,0
0,12,85,23,0,16,16,16,12,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
0,26,55,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,15,17,0,60,0,0,0,0,60,0,0,43,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,76,29,0,0,0,39,0,28,0,0,0,0
47,36,49,26,0,19,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,59,0,0,0,0,13,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,51,30,0
0,0,0,40,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30,51,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0
0,0,0,0,0,73,64,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,15,66,80,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,19,0,11,0,65,52,8,0,0,0,0,0,0,0,0,0,12,14,15,0
0,0,0,0,0,12,0,0,29,0,0,0,0,8,0,9,0,0,0,0,0,0,7,30,16,15,69,0
0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,34,0,0,23,0,89,0,0,0,0,0,0,0,0,0,0,0,48,0
55,0,49,0,0,0,0,0,0,0,0,0,0,0,0,13,0,26,0,0,0,0,0,26,0,0,24,0
49,25,52,33,0,0,0,0,0,0,0,0,0,0,11,23,0,0,0,0,0,0,0,0,0,0,0,0
0,15,14,0,0,30,20,0,0,46,0,0,0,26,0,0,42,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,61,58,0,0,0,0,0,0,0,11,0,0,16,0,37,0,0,0,0,0,10,0,0
0,0,0,0,0,0,0,0,0,0,0,0,12,38,0,0,0,0,0,0,0,0,0,0,117,26,0,0
19,0,59,0,0,0,0,0,0,6,8,19,7,0,11,0,0,0,7,0,0,0,8,31,7,10,0,0
0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,8,0,29,107,0,47,0,0,0,0,0,0,0,0,0,0
0,15,0,10,0,32,37,31,0,0,0,0,0,0,0,23,20,22,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,47,0,0,35,0,0,0,39,0,33,0,0,0,0,0,0,0,0,36,0
18,19,12,39,10,27,29,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,53,0,31,0,0,0,0,39,0,0,0,0,0,31,32,0,0
0,0,0,0,8,9,18,6,0,9,12,0,0,7,5,0,22,6,0,13,0,18,12,12,10,0,18,0
0,0,0,25,51,0,17,62,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,9,0,0,0,0
0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,109,21,26,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,126,0,0,0,0,0,0,0,0,0,0,0
0,28,66,0,0,0,51,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,15,0,0,13,0,0,0,0,0,0,45,16,0,23,0,0,29,0,0,0,25,13,0,0,0,0
0,0,0,0,57,0,0,0,0,0,0,15,0,69,0,0,0,38,0,0,0,0,0,0,0,0,0,0
85,0,0,0,22,0,0,0,54,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,33,0,0,0,0,0,25,22,0,43,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,15,9,13,0,9,0,0,0,0,0,0,0,0,0,14,14,15,0,18,0,12,47,0,11,0
0,0,0,0,0,0,0,0,0,0,0,0,31,27,118,0,0,0,0,0,0,0,0,0,0,0,0,0
0,42,0,0,39,32,11,0,0,0,0,0,0,0,0,39,12,0,0,0,0,0,0,0,0,0,0,0
0,0,46,7,0,0,0,0,0,0,17,0,0,34,0,42,0,13,0,0,0,0,0,0,0,16,0,0
0,0,0,0,30,0,13,0,0,0,0,0,0,0,0,0,0,0,22,20,0,12,0,14,0,34,29,0
0,0,0,0,0,0,0,0,0,49,83,25,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,97,0,40,0,0,0,0
153,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,48,0,0,13,0,0,23,19,0,21,0,0,13,0,0,0,35,0,0,0,0,0,0,0,0,0
15,58,0,0,0,30,26,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,66,49,0
0,0,0,0,0,0,0,0,0,0,0,46,0,18,0,0,0,0,0,103,0,0,0,0,0,0,0,0
0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,42,0,50,0,56,0
0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,24,0,0,24,0,0,0,0,0,0,0,0,0,26,0,0,0,31,58,0
0,0,0,0,0,0,0,0,0,0,0,0,56,66,0,0,0,41,0,0,0,0,0,0,0,0,0,0
0,92,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,17,8,35,7,9,12,13,0,14,0,5,0,0,11,14,0,0,0,5,0,0,0,12,0,0,0,0
0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,46,0,0,0,0,0,0,0,0
0,0,6,0,0,0,0,0,14,0,0,23,47,42,27,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,25,0,0,9,0,0,15,0,18,17,31,33,0
17,23,1,0,4,6,4,0,0,0,0,0,2,1,0,3,34,1,2,1,0,32,2,0,25,0,0,0
0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,35,0,0,0,0,0,15,0,0,0,0,35,0
0,0,17,27,0,34,0,20,20,0,0,32,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,11,16,22,18,4,0,0,0,0,0,0,0,0,5,6,0,0,0,14,11,34,0,0,15,0
0,0,0,0,0,0,0,0,59,0,13,0,0,47,0,0,0,0,0,6,0,0,0,0,0,21,10,0
0,0,0,0,0,0,0,0,0,0,0,0,48,49,43,0,16,0,0,0,0,0,0,0,0,0,0,0
0,0,12,18,46,0,0,0,11,0,0,8,0,0,0,0,0,0,9,9,0,0,0,42,0,0,0,0
101,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,40,0,0,0,0,0,0,0,14,0,0,0,0,24,0,0,31,19,11,0,15,0
0,0,0,0,0,0,0,0,0,0,0,0,35,38,0,0,0,0,30,0,0,0,0,0,0,33,18,0
0,0,0,0,0,0,0,0,0,0,0,0,39,30,38,22,0,24,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,32,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,38,31,0,0,0,0,0,0,0,0,17,0,15,10,15,0,6,19,0
0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,26,35,24,0,17,0,8,14,11,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,11,28,5,0,11,0,0,0,19,8,6,41,0
0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,32,0,0,0,15,0,14,31,0,0
0,0,0,0,26,0,0,0,0,0,0,13,7,10,0,0,0,0,37,0,0,0,19,11,0,0,27,0
149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
