"4WHA_C5_S24","4WHA_C6_S25","4WHA_C7_S26","4WHA_C8_S27","4WHA_H5_S47","4WHA_H6_S48","4WHA_H7_S49","4WHA_H8_S50","C10_S37","C7_S34","C8_S35","C9_S36","CV1_H_S28","CV2_H_S29","CV3_H_S30","CV4_H_S31","CV5_H_S32","CV6_H_S33","HA1_H_S38","HA2_H_S39","HA3_H_S40","HA4_H_S41","HA5_H_S42","HA6_H_S43","HA7_H_S44","HA8_H_S45","HA9_H_S46","Pool_control_S51"
72,518,618,1304,27,217,281,123,0,50,49,45,54,86,145,161,210,192,77,476,30,48,155,40,113,22,169,0
1435,48,3436,0,0,0,0,0,0,137,0,0,61,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
0,0,0,0,0,0,0,0,0,145,137,0,0,612,78,247,273,108,847,147,0,167,146,646,280,761,463,0
0,20,92,83,731,1040,0,537,0,170,71,0,0,60,48,86,74,0,22,699,0,53,82,487,47,123,407,0
0,0,853,0,0,0,0,0,46,241,145,342,533,606,192,633,263,144,7,36,29,0,0,0,0,0,645,0
0,0,0,0,0,0,0,0,0,0,26,197,13,111,680,0,357,0,0,0,40,857,508,859,710,71,202,0
0,0,0,768,0,0,22,0,47,1073,521,121,57,163,296,616,81,78,37,97,57,5,50,9,95,9,202,0
0,131,318,282,615,300,222,110,0,10,39,0,3,7,342,0,11,0,271,34,30,218,307,434,167,175,189,0
1165,0,0,175,244,66,323,50,268,272,142,455,0,158,171,0,62,0,187,0,0,0,50,0,71,70,0,0
0,0,0,0,0,0,0,0,0,0,333,0,0,402,0,444,88,203,0,319,18,62,161,886,348,659,0,0
515,103,364,33,0,37,14,0,0,77,48,82,103,164,99,53,106,50,391,198,114,114,88,340,171,331,312,0
1250,1129,1282,0,0,140,16,25,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0
0,0,3835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,270,24,544,123,273,74,149,8,62,7,41,14,35,133,282,58,416,51,100,10,332,74,223,110,56,93,0
0,0,0,0,0,0,529,0,12,0,0,0,0,0,229,42,138,0,0,161,0,0,96,789,1551,0,114,0
